time,open,high,low,close,Volume,EMA,ATR,ema,atr,upper_band,lower_band,capital_investment
2011/10/14 1:30,2655.1472,2665.3545,2630.7074,2631.8891,23912316,2875.869959,34.86225375,2875.870764,111.1157,5098.184764,653.556764,1.1
2011/10/14 5:30,2631.9038,2655.4636,2630.1539,2653.046,14139134,2873.652805,34.76720347,2873.653602,111.1157,5095.967602,651.3396022,1
2011/10/17 1:30,2659.5977,2686.9699,2653.4978,2662.9547,23833220,2871.556307,34.75881239,2871.557096,111.675,5105.057096,638.0570957,1
2011/10/17 5:30,2663.2075,2669.3111,2654.0153,2667.3833,12097463,2869.524734,34.56515057,2869.525516,116.1036,5191.597516,547.4535157,1
2011/10/18 1:30,2646.6455,2651.7315,2611.9231,2616.324,23116869,2867.005324,34.77306151,2867.006098,116.1036,5189.078098,544.9340976,1.1
2011/10/18 5:30,2615.9278,2621.1873,2589.2048,2592.4101,15961242,2864.273033,34.74529473,2864.273799,116.1036,5186.345799,542.2017991,1.1
2011/10/19 1:30,2603.0062,2617.3957,2583.7474,2587.9046,21475392,2861.523099,34.73437936,2861.523857,116.1036,5183.595857,539.4518568,1.1
2011/10/19 5:30,2587.8966,2593.872,2580.8051,2583.2431,9466817,2858.754143,34.51878255,2858.754894,116.1036,5180.826894,536.6828941,1.1
2011/10/20 1:30,2566.2989,2569.9237,2505.5753,2507.5896,25256795,2855.259969,34.94812601,2855.260712,159.7937,6051.134712,-340.613288,1.1
2011/10/20 5:30,2507.7966,2532.4615,2500.5659,2520.5441,14363499,2851.929463,34.91775262,2851.930198,159.7937,6047.804198,-343.9438015,1.1
2011/10/21 1:30,2522.7808,2538.0328,2504.8699,2514.7427,19207916,2848.574371,34.9002914,2848.575099,159.7937,6044.449099,-347.298901,1.1
2011/10/21 5:30,2514.7777,2526.5404,2506.7203,2507.9006,10424752,2845.184582,34.75023974,2845.185303,159.7937,6041.059303,-350.688697,1.1
